tick,completed_cumulative,completed_now,total_energy,dead_agents,latency_ms
127,14,0,1910.6500000000024,0,2.1912000083830208
128,14,0,1923.175000000002,0,2.687899977900088
129,14,0,1935.075000000002,0,1.959300017915666
130,14,0,1954.3750000000023,0,2.06540001090616
131,14,0,1973.675000000002,0,2.4834999931044877
132,14,0,1985.5750000000023,0,14.062500005820766
133,15,1,1997.475000000002,0,18.824699975084513
134,15,0,2010.375000000002,0,34.493799990741536
135,15,0,2023.2750000000021,0,2.358400000957772
136,15,0,2042.4250000000018,0,2.7457000105641782
137,15,0,2064.5000000000023,0,2.18239999958314
138,15,0,2079.175000000002,0,2.585600013844669
139,15,0,2093.850000000002,0,2.5929999828804284
140,15,0,2108.6750000000025,0,2.428800013149157
141,17,2,2122.3500000000026,0,2.272200013976544
142,17,0,2132.9000000000024,0,4.203799995593727
143,17,0,2145.8000000000025,0,2.092200011247769
144,17,0,2158.7000000000025,0,2.1143000049050897
145,17,0,2170.4500000000025,0,2.7227999817114323
146,17,0,2182.2000000000025,0,2.6060999953188
147,17,0,2192.8000000000025,0,2.378900011535734
148,17,0,2211.9500000000025,0,2.2743000008631498
149,17,0,2231.100000000002,0,2.4556000134907663
150,17,0,2250.2500000000023,0,2.0748999959323555
151,17,0,2269.4000000000024,0,2.5271000049542636
152,17,0,2289.7000000000025,0,2.7490999782457948
153,17,0,2310.0000000000023,0,2.4858999822754413
154,17,0,2320.600000000002,0,2.1613999851979315
155,17,0,2323.8000000000025,0,3.1528999970760196
156,17,0,2328.1500000000024,0,1.9198000081814826
157,17,0,2332.5000000000023,0,2.2034000139683485
158,17,0,2343.2500000000023,0,4.155999980866909
159,17,0,2355.1500000000024,0,2.1407000022009015
160,17,0,2367.050000000002,0,2.1447000035550445
161,17,0,2377.8000000000025,0,2.2581000230275095
162,17,0,2388.550000000002,0,2.1254000021144748
163,17,0,2399.3000000000025,0,2.207000012276694
164,17,0,2410.0500000000025,0,2.5542999792378396
165,17,0,2420.8000000000025,0,2.44609999936074
166,17,0,2438.9500000000025,0,2.3563000140711665
167,17,0,2457.100000000002,0,2.6486999995540828
168,17,0,2467.8500000000026,0,2.4483999877702445
169,18,1,2478.6000000000026,0,3.078500012634322
170,18,0,2488.0000000000023,0,2.1484000026248395
171,18,0,2497.4000000000024,0,2.1096999989822507
172,18,0,2505.6500000000024,0,2.3241000017151237
173,18,0,2513.9000000000024,0,2.449399995384738
174,18,0,2526.800000000003,0,2.2640999814029783
175,18,0,2538.5500000000025,0,2.144800004316494
176,18,0,2551.4500000000025,0,2.500500006135553
177,18,0,2564.3500000000026,0,2.0647000055760145
178,18,0,2577.2500000000023,0,2.079099998809397
179,18,0,2596.550000000003,0,2.434399997582659
180,18,0,2613.550000000003,0,2.080500009469688
181,18,0,2615.7500000000027,0,2.0849000138696283
182,18,0,2617.950000000003,0,2.9264999902807176
183,18,0,2627.5500000000025,0,2.184299984946847
184,18,0,2637.150000000003,0,1.9185999990440905
185,18,0,2646.7500000000027,0,3.5399000043980777
186,19,1,2663.7500000000027,0,2.13049998274073
187,19,0,2673.3500000000026,0,2.3305000213440508
