tick,completed_cumulative,completed_now,total_energy,dead_agents,latency_ms
82,26,0,3734.6,0,4569.6472999989055
83,26,0,3769.7,0,4577.507700014394
84,26,0,3799.9,0,4560.511300020153
85,26,0,3837.5,0,4600.112700019963
86,26,0,3871.6,0,4606.01270000916
87,27,1,3903.925,0,4502.438399998937
88,27,0,3935.4000000000005,0,4874.203899991699
89,28,1,3966.2500000000005,0,5181.888299994171
90,29,1,3993.1500000000005,0,5137.1139000111725
91,29,0,4024.9500000000003,0,3776.7988000123296
92,29,0,4055.6000000000004,0,5010.919099993771
93,29,0,4082.4000000000005,0,3491.250899998704
94,30,1,4106.2750000000015,0,3532.0382000063546
95,30,0,4130.1500000000015,0,4126.985400012927
96,31,1,4146.625000000001,0,3687.2969000251032
97,32,1,4166.85,0,3743.697099998826
98,32,0,4187.075000000001,0,3750.8992000075523
99,32,0,4208.450000000001,0,3664.9503000080585
100,32,0,4229.825000000001,0,3634.1944000159856
101,32,0,4251.200000000002,0,3544.2179999954533
102,32,0,4272.575000000001,0,3445.878200000152
103,32,0,4293.950000000001,0,3355.4944000206888
104,33,1,4314.175000000001,0,3298.0306999816094
105,33,0,4330.4000000000015,0,3507.059900002787
106,34,1,4342.700000000001,0,3416.5497999929357
107,34,0,4357.450000000001,0,3718.0778000038117
108,34,0,4373.350000000001,0,3370.73589998181
109,34,0,4386.950000000001,0,3198.6921000061557
110,34,0,4400.975,0,3555.6995999941137
111,34,0,4415.0,0,3114.039500011131
112,34,0,4429.025000000001,0,2645.0010999978986
113,35,1,4444.400000000001,0,3084.811200009426
114,35,0,4460.775000000001,0,2888.6162000126205
115,35,0,4477.150000000001,0,3250.223699986236
116,35,0,4493.525000000001,0,2995.668300020043
117,35,0,4509.900000000001,0,3001.159000006737
118,35,0,4524.7750000000015,0,2762.272699997993
119,35,0,4544.6500000000015,0,2980.257800023537
120,35,0,4562.225,0,3195.6917000061367
121,35,0,4582.725000000001,0,2732.1997999970336
122,35,0,4602.225,0,2763.2650999876205
123,36,1,4621.725,0,2780.147500016028
124,36,0,4642.225000000001,0,2622.309899976244
125,36,0,4662.725000000001,0,2861.865000013495
126,37,1,4682.075000000001,0,2614.0345000021625
127,37,0,4702.425000000001,0,2577.4755000020377
128,37,0,4722.775000000001,0,2754.1712000092957
129,37,0,4742.325000000002,0,2780.2507000160404
130,37,0,4763.300000000001,0,3325.9611999965273
131,37,0,4784.2750000000015,0,3311.5475999948103
132,37,0,4805.250000000001,0,3108.749400009401
133,37,0,4831.225000000001,0,3342.118600005051
134,37,0,4859.500000000001,0,3597.544599993853
135,38,1,4884.850000000001,0,4210.322400002042
136,39,1,4907.075000000003,0,3345.117199991364
137,39,0,4931.600000000002,0,3223.5998999967705
138,40,1,4954.975000000002,0,2877.9200999997556
139,40,0,4978.350000000002,0,3431.6539999854285
140,40,0,5006.725000000002,0,3732.378599990625
141,41,1,5028.275000000002,0,2859.98720000498
142,41,0,5057.025000000002,0,2852.072000008775
143,41,0,5085.775000000002,0,2593.3967999881133
144,41,0,5116.025000000002,0,2575.4214000189677
145,41,0,5142.275000000002,0,2777.373799995985
146,41,0,5163.625000000003,0,3140.842099994188
147,41,0,5192.375000000003,0,4163.952800008701
148,41,0,5220.125000000002,0,3776.9738000060897
149,41,0,5248.025000000003,0,5084.101399988867
150,41,0,5274.525000000002,1,4351.3147000048775
151,41,0,5301.025000000002,1,3767.5852999964263
152,41,0,5330.025000000003,1,3316.3059999933466
153,41,0,5359.025000000002,1,3592.8034000098705
154,41,0,5386.875000000003,1,3627.2965999960434
155,41,0,5415.875000000003,1,3978.322799986927
156,42,1,5442.925000000003,1,3889.875499997288
157,42,0,5473.275000000003,1,4092.1415000048
158,42,0,5503.625000000003,1,3890.2333000150975
159,42,0,5533.975000000003,1,3865.809700015234
160,42,0,5564.3250000000035,1,3892.5404000037815
161,42,0,5591.375000000003,1,3581.6468999837525
162,42,0,5617.4500000000035,1,3360.332300013397
163,42,0,5646.025000000004,1,3142.4026000022423
164,42,0,5681.000000000004,1,5048.376199993072
165,42,0,5716.975000000004,1,4811.791699990863
