tick,completed_cumulative,completed_now,total_energy,dead_agents,latency_ms
0,0,0,9.899999999999997,0,38.09980000369251
1,0,0,20.949999999999992,0,40.589200012618676
2,0,0,34.925,0,100.13579999213107
3,0,0,56.29999999999999,0,148.57419999316335
4,0,0,78.825,0,170.34660000354052
5,0,0,104.27499999999999,0,280.06039999308996
6,1,1,129.725,0,579.2611000069883
7,1,0,162.57500000000002,0,844.4430000090506
8,1,0,196.57500000000002,0,714.8072999843862
9,1,0,233.5,0,632.2347999957856
10,1,0,277.82500000000005,0,606.905699998606
11,2,1,314.75000000000006,0,504.601199994795
12,2,0,359.075,0,564.4819000153802
13,2,0,403.40000000000003,0,459.2201999912504
14,2,0,447.725,0,649.4914999930188
15,3,1,490.9,0,438.15640002139844
16,3,0,535.2249999999999,0,285.6620000093244
17,4,1,576.625,0,224.48120001354255
18,4,0,620.9499999999999,0,161.01690000505187
19,5,1,657.8749999999999,0,126.22199999168515
20,6,1,694.8,0,141.41390001168475
21,8,2,733.275,0,189.72819999908097
22,8,0,777.6,0,315.67370000993833
23,8,0,821.925,0,288.32819999661297
24,10,2,851.4499999999999,0,229.71909999614581
25,10,0,895.775,0,379.4231000065338
26,11,1,932.7,0,294.0255999856163
27,13,2,972.9499999999999,0,620.6669000093825
28,13,0,1017.2750000000001,0,542.5082999863662
29,13,0,1061.6,0,450.14159998390824
30,13,0,1105.925,0,330.46150000882335
31,13,0,1150.25,0,280.34670001943596
32,15,2,1184.25,0,212.23979999194853
33,16,1,1227.425,0,200.10370001546107
34,16,0,1271.7499999999998,0,149.65289999963716
35,17,1,1314.925,0,131.64730000426061
36,20,3,1347.7749999999999,0,99.27569999126717
37,21,1,1384.7,0,864.3133000005037
38,22,1,1427.8749999999998,0,1613.6520000000019
39,22,0,1472.2,0,1511.9496999832336
40,22,0,1516.5249999999999,0,1918.9226000162307
41,22,0,1560.85,0,1246.5312000131235
42,24,2,1594.8500000000001,0,1153.2208999851719
43,24,0,1639.1749999999997,0,1181.076299981214
44,26,2,1673.175,0,1115.3464999806602
45,26,0,1717.4999999999998,0,2323.4841999947093
46,26,0,1761.8249999999998,0,1766.8864000006579
47,27,1,1803.225,0,1553.9432000077795
48,27,0,1847.55,0,1355.6580000149552
49,29,2,1887.8,0,1221.8829000194091
50,29,0,1932.125,0,1598.5312999982852
51,29,0,1976.4499999999998,0,1134.0810999972746
52,29,0,2020.7749999999999,0,819.366900017485
53,29,0,2065.1000000000004,0,686.9166000105906
54,29,0,2109.425,0,581.4618000003975
55,30,1,2150.825,0,528.5789000045042
56,31,1,2194.0,0,455.08039998821914
57,32,1,2230.925,0,441.3893000164535
58,33,1,2265.3500000000004,0,340.38569999393076
59,33,0,2307.1750000000006,0,1670.9584000054747
60,34,1,2347.8500000000004,0,1833.78200000152
61,34,0,2389.675,0,1401.585999992676
62,34,0,2431.5000000000005,0,1338.0458000174258
63,34,0,2473.3250000000003,0,1587.6426999748219
64,36,2,2501.6000000000004,0,1294.8143999965396
65,36,0,2538.425,0,1841.065000015078
66,37,1,2567.8500000000004,0,1900.1250000146683
67,38,1,2599.2500000000005,0,1981.4616999938153
68,39,1,2630.0250000000005,0,1681.5055000188295
69,39,0,2663.1000000000004,0,1598.469099990325
70,39,0,2696.1750000000006,0,1694.0486999810673
71,39,0,2729.2500000000005,0,1191.2328999897
72,39,0,2762.3250000000007,0,916.3403999991715
73,40,1,2791.750000000001,0,800.3402999893297
74,40,0,2817.3250000000007,0,713.5404000000563
75,40,0,2840.4000000000005,0,688.0322000070009
76,40,0,2863.475000000001,0,475.1366999989841
77,41,1,2883.625000000001,0,373.52150000515394
78,42,1,2904.9250000000006,0,298.83429998881184
79,42,0,2927.375000000001,0,275.58429999044165
80,42,0,2949.825000000001,0,269.25389998359606
81,42,0,2969.7750000000005,0,185.94060000032187
82,42,0,2989.725000000001,0,116.45810000482015
83,43,1,3008.5250000000005,0,101.51530001894571
84,43,0,3028.475000000001,0,71.91060000332072
85,43,0,3048.425000000001,0,77.90539998677559
86,43,0,3068.3750000000005,0,40.61510000610724
87,43,0,3088.3250000000007,0,27.38280000630766
88,43,0,3108.275000000001,0,18.735599995125085
89,45,2,3119.675000000001,0,14.52110000536777
90,45,0,3137.1250000000014,0,26.646099984645844
91,46,1,3147.1750000000006,0,15.171800012467429
92,47,1,3160.9750000000004,0,10.457900003530085
93,47,0,3170.7750000000005,0,8.70730000315234
94,47,0,3180.5750000000007,0,7.579600001918152
95,47,0,3183.875000000001,0,12.171499984106049
96,48,1,3186.025000000001,0,8.188099978724495
97,49,1,3188.175000000001,0,28.164699993794784
98,49,0,3191.475000000001,0,51.37179998564534
99,49,0,3194.7750000000005,0,22.85800001118332
100,49,0,3205.5750000000007,0,532.3628999758512
101,49,0,3216.375000000001,0,236.42850000760518
102,49,0,3227.175000000001,0,233.8776999968104
103,49,0,3237.975000000001,0,213.32469998742454
104,49,0,3248.7750000000005,0,189.7787000052631
105,49,0,3261.225000000001,0,492.4993999884464
106,49,0,3276.800000000001,0,280.72789998259395
107,49,0,3292.3750000000014,0,225.59570000157692
108,49,0,3307.950000000001,0,209.52760000363924
109,50,1,3322.3750000000014,0,153.4191000100691
110,50,0,3337.800000000001,0,216.43490000860766
111,51,1,3350.3000000000015,0,103.56790001969784
112,52,1,3367.700000000001,0,125.78549998579547
113,52,0,3393.6000000000013,0,322.6645000104327
114,52,0,3422.6250000000014,0,687.6131999888457
115,52,0,3451.6500000000015,0,1072.154599998612
116,52,0,3479.1750000000015,0,613.202899985481
117,53,1,3497.800000000001,0,511.4017000014428
118,53,0,3523.8250000000016,0,509.48569999309257
119,53,0,3549.8500000000013,0,463.16630000364967
120,53,0,3575.8750000000014,0,598.936299997149
121,54,1,3598.9750000000013,0,317.69820000045
122,55,1,3622.075000000001,0,408.69329997804016
123,55,0,3648.1000000000013,0,874.171400006162
124,55,0,3674.1250000000014,0,757.1155999903567
125,56,1,3701.9000000000015,0,2171.4450999861583
126,56,0,3738.7250000000004,0,1755.1085999875795
127,56,0,3775.5500000000006,0,1668.9254000084475
128,56,0,3819.875000000001,0,1744.6564999991097
129,56,0,3864.200000000001,0,1639.3879000097513
130,56,0,3908.5250000000015,0,1423.6283999925945
131,58,2,3944.3000000000015,0,1138.251800002763
132,58,0,3988.625000000001,0,1025.796600006288
133,58,0,4032.9500000000007,0,916.1637999932282
134,58,0,4077.275000000001,0,891.8552999966778
135,58,0,4121.600000000001,0,825.047899998026
136,58,0,4165.925000000001,0,571.1764000006951
137,59,1,4202.850000000001,0,472.07109999726526
138,59,0,4247.175000000001,0,762.2040999995079
139,60,1,4290.350000000001,0,553.4007000096608
140,62,2,4324.350000000002,0,657.1401999972295
141,62,0,4368.675000000001,0,846.8343999993522
142,63,1,4410.075000000002,0,659.8610999935772
143,63,0,4454.4000000000015,0,694.8394000064582
144,63,0,4498.725000000001,0,579.0869000193197
145,64,1,4535.6500000000015,0,611.3153999904171
146,64,0,4579.975000000001,0,378.40489999507554
147,64,0,4624.300000000001,0,299.2345000093337
148,65,1,4661.225000000002,0,223.20269999909215
149,65,0,4705.550000000001,0,430.984599981457
150,69,4,4743.500000000001,0,573.9766999904532
151,69,0,4786.675000000001,0,837.613900017459
152,70,1,4828.075000000002,0,713.9625999843702
153,71,1,4865.000000000002,0,635.6038000085391
154,71,0,4909.325000000003,0,592.42600001744
155,72,1,4946.250000000002,0,720.039200008614
156,72,0,4990.575000000002,0,773.2989999931306
157,72,0,5034.9000000000015,0,655.1804000046104
158,73,1,5078.075000000002,0,631.3357000180986
159,75,2,5107.600000000001,0,574.4006000168156
160,75,0,5151.925000000001,0,933.2740000099875
161,76,1,5193.325000000002,0,750.5796999903396
162,76,0,5237.6500000000015,0,623.623099992983
163,77,1,5279.050000000002,0,455.1752000115812
164,78,1,5322.225000000002,0,358.0276999855414
165,78,0,5366.550000000002,0,374.4686999998521
166,80,2,5402.325000000003,0,226.6286000085529
167,80,0,5446.650000000002,0,389.4506999931764
168,82,2,5480.650000000002,0,341.90110000781715
169,83,1,5523.825000000003,0,587.2352000151295
170,83,0,5568.150000000002,0,790.3731999977026
171,83,0,5612.475000000002,0,428.5031999752391
172,83,0,5656.800000000002,0,462.9275999905076
173,84,1,5693.725000000002,0,295.90720002306625
174,84,0,5738.050000000002,0,855.1075000141282
175,84,0,5782.375000000002,0,1111.3343999895733
176,85,1,5825.550000000002,0,683.4883999836165
177,85,0,5869.875000000002,0,579.2766999802552
178,87,2,5903.875000000002,0,586.6448000015225
179,88,1,5940.800000000001,0,608.6624999879859
180,89,1,5983.975000000002,0,647.7055999857839
181,90,1,6025.375000000002,0,542.5210999965202
182,92,2,6065.625000000002,0,634.5923000189941
183,93,1,6102.550000000001,0,575.9630000102334
184,93,0,6146.875,0,489.208899991354
185,93,0,6191.200000000001,0,400.73779999511316
186,94,1,6228.125000000002,0,396.04229998076335
187,94,0,6272.450000000001,0,350.07250000489876
188,94,0,6316.7750000000015,0,247.106700000586
189,95,1,6359.950000000001,0,193.143999989843
190,95,0,6404.275,0,164.8091000097338
191,96,1,6447.450000000001,0,107.8947999922093
192,97,1,6484.375000000002,0,90.78139998018742
193,98,1,6523.275,0,70.56989998091012
194,99,1,6562.175000000001,0,456.68810000643134
195,99,0,6604.0,0,1001.2189999979455
196,100,1,6644.674999999999,0,689.0603999781888
197,102,2,6671.700000000001,0,646.2653999915347
198,103,1,6703.625,0,1438.7443999876268
199,103,0,6737.949999999999,0,1240.4649000091013
200,103,0,6772.275000000001,0,1165.2826000063214
201,103,0,6806.599999999999,0,975.0908999994863
202,105,2,6833.624999999999,0,826.8383000104222
203,105,0,6862.95,0,749.4937999872491
204,105,0,6892.275,0,645.1953999930993
205,106,1,6918.674999999999,0,678.430500003742
206,106,0,6948.0,0,511.0905999899842
207,107,1,6976.174999999999,0,365.55719998432323
208,109,2,6995.174999999998,0,323.22829999611713
209,109,0,7023.874999999999,0,621.7834999843035
210,109,0,7052.574999999999,0,792.8141999873333
211,110,1,7080.124999999998,0,426.33180000120774
212,110,0,7108.824999999999,0,358.5109999985434
213,110,0,7137.524999999999,0,254.77630001842044
214,111,1,7163.299999999998,0,195.00549999065697
215,111,0,7191.999999999998,0,293.368200014811
216,112,1,7217.049999999998,0,195.1802000112366
217,112,0,7243.249999999998,0,279.7446000040509
218,112,0,7269.449999999998,0,216.66869998443872
219,112,0,7295.649999999998,0,158.39679999044165
220,113,1,7320.699999999998,0,179.3844000203535
221,114,1,7345.749999999998,0,114.1502000100445
222,115,1,7364.549999999997,0,109.74079999141395
223,115,0,7388.249999999998,0,112.1458999987226
224,117,2,7407.874999999998,0,84.93679997627623
225,117,0,7428.449999999997,0,87.69369998481125
226,118,1,7441.624999999998,0,48.16949999076314
227,118,0,7459.699999999997,0,39.725599985104054
228,118,0,7477.774999999998,0,36.434800014831126
229,118,0,7490.849999999997,0,45.355700014624745
230,118,0,7498.924999999997,0,30.626699997810647
231,119,1,7504.074999999999,0,24.11440000287257
232,120,1,7510.374999999998,0,30.085200007306412
233,120,0,7517.824999999999,0,115.79340000753291
234,120,0,7540.274999999998,0,287.4994999729097
235,120,0,7562.724999999997,0,330.239500006428
236,120,0,7585.174999999997,0,230.86330000660382
237,120,0,7607.624999999998,0,199.89430002169684
238,120,0,7630.074999999997,0,132.8792999847792
239,121,1,7648.874999999998,0,111.22340001747943
240,121,0,7668.824999999997,0,110.6405999744311
241,122,1,7687.624999999998,0,72.93579998076893
242,122,0,7707.424999999997,0,74.57709999289364
243,123,1,7718.324999999997,0,49.23789997701533
244,123,0,7736.624999999996,0,43.60969999106601
245,123,0,7754.924999999996,0,48.01460000453517
246,123,0,7773.224999999997,0,25.858999986667186
247,123,0,7791.524999999998,0,17.323400010354817
248,123,0,7809.824999999997,0,9.441200003493577
249,125,2,7822.699999999997,0,58.17959998967126
250,126,1,7836.724999999997,0,336.764800013043
251,126,0,7858.149999999996,0,187.31239999760874
252,126,0,7881.224999999997,0,356.04469999088906
253,126,0,7904.299999999997,0,292.7209000044968
254,126,0,7927.374999999996,0,348.41700000106357
255,127,1,7949.299999999996,0,292.0513999997638
256,128,1,7964.974999999997,0,516.285500023514
257,128,0,7988.049999999996,0,1142.1302999951877
258,128,0,8011.124999999996,0,1078.1703000247944
259,128,0,8037.324999999995,0,935.8280999877024
260,128,0,8063.524999999996,0,1143.829500011634
261,128,0,8089.724999999997,0,760.4133000131696
262,129,1,8108.524999999994,0,655.1245999871753
263,129,0,8134.724999999995,0,684.4911999942269
264,130,1,8167.274999999996,0,648.1579999963287
265,130,0,8200.824999999995,0,626.5191000129562
266,131,1,8231.449999999995,0,438.1057000136934
267,131,0,8272.499999999995,0,637.4167999892961
268,131,0,8313.549999999994,0,585.4241999913938
269,131,0,8353.099999999997,0,479.59519998403266
270,131,0,8392.649999999996,0,520.5996000149753
271,131,0,8432.199999999995,0,330.32519998960197
272,133,2,8465.899999999996,0,289.38750000088476
273,133,0,8505.449999999995,0,220.3612000157591
274,135,2,8530.199999999997,0,236.08109998167492
275,135,0,8569.749999999996,0,661.3327999948524
276,135,0,8612.424999999996,0,549.9135999998543
277,135,0,8655.099999999997,0,463.5930000222288
278,136,1,8692.024999999994,0,395.69639999535866
279,137,1,8728.949999999993,0,831.8861000007018
280,138,1,8770.349999999995,0,1135.2909000124782
281,138,0,8814.674999999996,0,873.3420000062324
282,138,0,8858.999999999995,0,738.69920001016
283,139,1,8900.399999999994,0,648.5482999996748
284,140,1,8943.574999999993,0,561.3383000018075
285,140,0,8987.899999999996,0,538.969499990344
286,140,0,9032.224999999995,0,388.41210000100546
287,141,1,9069.149999999994,0,281.43800000543706
288,142,1,9110.549999999996,0,330.76080001774244
289,143,1,9153.724999999995,0,255.23680000333115
290,143,0,9196.399999999994,0,226.3317999895662
291,143,0,9239.074999999993,0,134.60829999530688
292,144,1,9280.599999999995,0,103.81649999180809
293,145,1,9315.874999999993,0,83.61240001977421
294,146,1,9351.149999999994,0,236.65730000357144
295,146,0,9393.824999999993,0,373.5384999890812
296,148,2,9432.424999999992,0,233.07230000500567
297,149,1,9472.174999999992,0,520.782000006875
298,149,0,9514.849999999993,0,429.472399991937
299,149,0,9557.524999999992,0,414.637700014282
300,152,3,9582.474999999993,0,364.7491000010632
